,Alberta-Summer,Alberta-Spring,British Columbia-Summer,British Columbia-Spring,Manitoba-Summer,Manitoba-Spring,Ontario-Summer,Ontario-Spring,Quebec-Summer,Quebec-Spring,Saskatchewan-Summer,Saskatchewan-Spring,Atlantic Province-Summer,Atlantic Province-Spring,Northern Territory-Summer,Northern Territory-Spring
0,mask,learn,mask,close,mask,care,fordnation,resource,mask,aside,mask,service,mask,hour,mask,clyde
1,adrianalagrange,supply,trump,regularly,back,unlikely,sflecce,centre,trump,elementary,safely,stay,nsteachersunion,april,give,inuit
2,fund,preschool,wear,daycare,trump,daycare,plan,daycare,person,donate,plan,childcare,zachchurchill,reassess,stop,speak
3,funding,cook,fall,meal,police,cdnchildprotect,mask,learn,lmao,close,back,free,classroom,care,extra,talk
4,plan,food,rob_fleming,guardian,year,resource,size,food,rise,meal,return,relate,physical,reach,travel,offer
5,alberta_moms,tip,funding,service,mingoertzen,brent,small,guardian,safely,rely,september,response,size,stack,begin,restriction
6,billion,driver,size,continuity,die,meal,funding,update,wear,home,sign,closed,distance,2000,plan,daycare
7,cmoh_alberta,cancel,jjhorgan,spring,voice,worker,class,close,classroom,abusive,reopening,home,ventilation,worker,everyone,free
8,protest,childcare,deadly,page,street,resume,ventilation,coronavirus,deadly,legault,saskparty,friday,distancing,registration,effect,april
9,kenney,home,want,update,september,childcare,return,closed,election,stick,keepskkidssafe,minute,wear,home,trump,food
10,lagrange,free,back,suspend,deadly,online,union,free,fall,free,demand,thursday,nova,notice,zone,closure
11,entry,centre,plan,free,safely,centre,reopening,home,theyre,daycare,safe,daycare,back,daycare,thursday,easy
12,size,close,cool,essential,wear,free,demand,remain,donald,food,wear,closure,class,free,8:00am,resource
13,reopening,daycare,election,worker,survey,home,reduce,april,discuss,worker,premierscottmoe,march,scotia,close,wear,online
14,safety,closure,money,closure,demand,closure,safely,closure,dangerous,closure,trump,close,plan,closure,nation,nunavut
